PROGENY,FLOWERS_TO_POLLINATE_REQUIRED,PARENT1,P1L1FC,P1L1,P1L2FC,P1L2,P1L3FC,P1L3,P1L4FC,P1L4,PARENT2,P2L1FC,P2L1,P2L2FC,P2L2,P2L3FC,P2L3,P2L4FC,P2L4,RECIPROCAL_DONE,NEW_LABELS
2026-539,24,16-522.902,02B,,,,,,,,22-051.902,17A,,,,,,,,FALSE,FALSE
2026-538,24,17-435.901,03A,,,,,,,,22-057.901,17B,,,,,,,,FALSE,FALSE
2026-537,24,21-363.906,14B,,,,,,,,22-057.901,17B,,,,,,,,TRUE,TRUE
2026-536,24,22-004.902,16A,,,,,,,,22-057.901,17B,,,,,,,,TRUE,TRUE
2026-535,24,18-237.003,04B,,,,,,,,22-057.901,17B,,,,,,,,FALSE,FALSE
2026-534,24,21-284.301,14B,,,,,,,,22-057.901,17B,,,,,,,,FALSE,FALSE
2026-533,24,21-361.901,07A,,,,,,,,22-057.902,17B,,,,,,,,TRUE,TRUE
2026-532,24,22-012.902,15A,,,,,,,,22-057.902,17B,,,,,,,,FALSE,FALSE
2026-531,24,18-237.003,04B,,,,,,,,22-057.902,17B,,,,,,,,FALSE,FALSE
2026-530,24,18-194.001,03B,,,,,,,,22-057.902,17B,,,,,,,,FALSE,FALSE
2026-529,24,17-434.902,03A,,,,,,,,22-057.902,17B,,,,,,,,FALSE,FALSE
2026-528,24,21-284.301,14B,,,,,,,,22-057.903,19B,,,,,,,,FALSE,FALSE
2026-527,24,22-057.901,17B,,,,,,,,22-077.901,19B,,,,,,,,FALSE,FALSE
2026-526,24,22-022.905,15B,,,,,,,,22-078.901,19B,,,,,,,,FALSE,FALSE
2026-525,24,21-363.906,14B,,,,,,,,22-085.903,19B,,,,,,,,TRUE,TRUE
2026-524,24,21-284.301,14B,,,,,,,,22-585.301,19B,,,,,,,,FALSE,FALSE
2026-523,24,N169.901,07A,,,,,,,,21-361.901,07A,,,,,,,,FALSE,FALSE
2026-522,12,N244.903,07A,,,,,,,,16-405.901,02B,,,,,,,,FALSE,FALSE
2026-521,24,P048.003,07A,,,,,,,,22-004.902,16A,,,,,,,,FALSE,FALSE
2026-520,24,P187.001,07A,,,,,,,,21-363.906,14B,,,,,,,,FALSE,FALSE
2026-519,24,P187.001,07A,,,,,,,,22-005.905,13A,,,,,,,,FALSE,FALSE
2026-518,24,P187.001,07A,,,,,,,,22-045.904,19A,,,,,,,,FALSE,FALSE
2026-517,24,P187.001,07A,,,,,,,,22-046.901,17A,,,,,,,,FALSE,FALSE
2026-516,36,P187.001,07A,,,,,,,,18-237.003,04B,,,,,,,,FALSE,FALSE
2026-515,24,R135.001,07B,,,,,,,,18-237.003,04B,,,,,,,,FALSE,FALSE
2026-514,36,R143.002,07B - 08B,,,,,,,,21-284.301,14B,,,,,,,,FALSE,FALSE
2026-513,24,S223.901,08B,,,,,,,,22-022.905,15B,,,,,,,,FALSE,FALSE
